T1,T2,T3,T4
2.146594929,2.146594929,2.146594929,2.146594929
2.175031849,2.175031849,2.175031849,2.175031849
2.145783133,2.145783133,2.145783133,2.145783133
2.341602415,2.341602415,2.341602415,2.341602415
1.919195862,1.919195862,1.919195862,1.919195862
1.700005693,1.700005693,1.700005693,1.700005693
1.538588091,1.538588091,1.538588091,1.538588091
1.499016063,1.499016063,1.499016063,1.499016063
1.507255722,1.507255722,1.507255722,1.507255722
1.533189048,1.533189048,1.533189048,1.533189048
1.480343426,1.480343426,1.480343426,1.480343426
1.495274046,1.495274046,1.495274046,1.495274046
1.558866933,1.558866933,1.558866933,1.558866933
1.550522958,1.550522958,1.550522958,1.550522958
1.520986703,1.520986703,1.520986703,1.520986703
1.567658933,1.567658933,1.567658933,1.567658933
1.732898796,1.732898796,1.732898796,1.732898796
2.017753468,2.017753468,2.017753468,2.017753468
2.532250009,2.532250009,2.532250009,2.532250009
2.213447034,2.213447034,2.213447034,2.213447034
1.9222197,1.9222197,1.9222197,1.9222197
1.970490111,1.970490111,1.970490111,1.970490111
2.074466821,2.074466821,2.074466821,2.074466821
2.128700653,2.128700653,2.128700653,2.128700653
2.097231871,2.097231871,2.097231871,2.097231871
2.081165807,2.081165807,2.081165807,2.081165807
2.171672326,2.171672326,2.171672326,2.171672326
2.370187785,2.370187785,2.370187785,2.370187785
1.937281385,1.937281385,1.937281385,1.937281385
1.718607449,1.718607449,1.718607449,1.718607449
1.512629354,1.512629354,1.512629354,1.512629354
1.515982191,1.515982191,1.515982191,1.515982191
1.46730655,1.46730655,1.46730655,1.46730655
1.525632796,1.525632796,1.525632796,1.525632796
1.477969559,1.477969559,1.477969559,1.477969559
1.466597734,1.466597734,1.466597734,1.466597734
1.488179193,1.488179193,1.488179193,1.488179193
1.523056983,1.523056983,1.523056983,1.523056983
1.508542291,1.508542291,1.508542291,1.508542291
1.560395569,1.560395569,1.560395569,1.560395569
1.742966667,1.742966667,1.742966667,1.742966667
2.086420411,2.086420411,2.086420411,2.086420411
2.537848323,2.537848323,2.537848323,2.537848323
2.268070047,2.268070047,2.268070047,2.268070047
1.962580788,1.962580788,1.962580788,1.962580788
2.05320901,2.05320901,2.05320901,2.05320901
2.09422943,2.09422943,2.09422943,2.09422943
2.128118889,2.128118889,2.128118889,2.128118889
2.052826516,2.052826516,2.052826516,2.052826516
2.003527652,2.003527652,2.003527652,2.003527652
2.072039458,2.072039458,2.072039458,2.072039458
2.369686264,2.369686264,2.369686264,2.369686264
2.001485458,2.001485458,2.001485458,2.001485458
1.790433307,1.790433307,1.790433307,1.790433307
1.599020725,1.599020725,1.599020725,1.599020725
1.524145618,1.524145618,1.524145618,1.524145618
1.542895823,1.542895823,1.542895823,1.542895823
1.519547672,1.519547672,1.519547672,1.519547672
1.402213113,1.402213113,1.402213113,1.402213113
1.281204744,1.281204744,1.281204744,1.281204744
1.463500339,1.463500339,1.463500339,1.463500339
1.647355331,1.647355331,1.647355331,1.647355331
1.805904232,1.805904232,1.805904232,1.805904232
1.922857635,1.922857635,1.922857635,1.922857635
2.005355864,2.005355864,2.005355864,2.005355864
2.429557194,2.429557194,2.429557194,2.429557194
3.027815798,3.027815798,3.027815798,3.027815798
2.643238654,2.643238654,2.643238654,2.643238654
2.255848979,2.255848979,2.255848979,2.255848979
2.212425269,2.212425269,2.212425269,2.212425269
2.259247286,2.259247286,2.259247286,2.259247286
2.21374661,2.21374661,2.21374661,2.21374661
2.13781229,2.13781229,2.13781229,2.13781229
2.120580022,2.120580022,2.120580022,2.120580022
2.162447011,2.162447011,2.162447011,2.162447011
2.437906519,2.437906519,2.437906519,2.437906519
2.080184162,2.080184162,2.080184162,2.080184162
1.834131182,1.834131182,1.834131182,1.834131182
1.661066251,1.661066251,1.661066251,1.661066251
1.548301553,1.548301553,1.548301553,1.548301553
1.541519649,1.541519649,1.541519649,1.541519649
1.526400457,1.526400457,1.526400457,1.526400457
1.351990112,1.351990112,1.351990112,1.351990112
1.233434516,1.233434516,1.233434516,1.233434516
1.371581536,1.371581536,1.371581536,1.371581536
1.56220907,1.56220907,1.56220907,1.56220907
1.740242404,1.740242404,1.740242404,1.740242404
1.850682718,1.850682718,1.850682718,1.850682718
2.00531708,2.00531708,2.00531708,2.00531708
2.383101621,2.383101621,2.383101621,2.383101621
2.808067938,2.808067938,2.808067938,2.808067938
2.441945436,2.441945436,2.441945436,2.441945436
2.024830935,2.024830935,2.024830935,2.024830935
2.015368902,2.015368902,2.015368902,2.015368902
2.110421209,2.110421209,2.110421209,2.110421209
2.16734052,2.16734052,2.16734052,2.16734052
2.18940879,2.18940879,2.18940879,2.18940879
2.126480586,2.126480586,2.126480586,2.126480586
2.169668916,2.169668916,2.169668916,2.169668916
2.330379039,2.330379039,2.330379039,2.330379039
1.931177537,1.931177537,1.931177537,1.931177537
1.747945769,1.747945769,1.747945769,1.747945769
1.592476877,1.592476877,1.592476877,1.592476877
1.543909565,1.543909565,1.543909565,1.543909565
1.532611296,1.532611296,1.532611296,1.532611296
1.552724301,1.552724301,1.552724301,1.552724301
1.500998075,1.500998075,1.500998075,1.500998075
1.377677359,1.377677359,1.377677359,1.377677359
1.478471081,1.478471081,1.478471081,1.478471081
1.548657299,1.548657299,1.548657299,1.548657299
1.57425494,1.57425494,1.57425494,1.57425494
1.53065202,1.53065202,1.53065202,1.53065202
1.684664495,1.684664495,1.684664495,1.684664495
2.008195143,2.008195143,2.008195143,2.008195143
2.532447943,2.532447943,2.532447943,2.532447943
2.263655323,2.263655323,2.263655323,2.263655323
1.880783351,1.880783351,1.880783351,1.880783351
2.060192859,2.060192859,2.060192859,2.060192859
2.160066457,2.160066457,2.160066457,2.160066457
2.133032459,2.133032459,2.133032459,2.133032459
2.123187932,2.123187932,2.123187932,2.123187932
2.140551264,2.140551264,2.140551264,2.140551264
2.164852975,2.164852975,2.164852975,2.164852975
2.361056087,2.361056087,2.361056087,2.361056087
1.919250695,1.919250695,1.919250695,1.919250695
1.734032903,1.734032903,1.734032903,1.734032903
1.542271262,1.542271262,1.542271262,1.542271262
1.496709066,1.496709066,1.496709066,1.496709066
1.481949632,1.481949632,1.481949632,1.481949632
1.531215061,1.531215061,1.531215061,1.531215061
1.492338476,1.492338476,1.492338476,1.492338476
1.407915743,1.407915743,1.407915743,1.407915743
1.46697354,1.46697354,1.46697354,1.46697354
1.510806492,1.510806492,1.510806492,1.510806492
1.477497461,1.477497461,1.477497461,1.477497461
1.512458168,1.512458168,1.512458168,1.512458168
1.63677524,1.63677524,1.63677524,1.63677524
2.010910044,2.010910044,2.010910044,2.010910044
2.432399147,2.432399147,2.432399147,2.432399147
2.177974107,2.177974107,2.177974107,2.177974107
1.900878971,1.900878971,1.900878971,1.900878971
2.058567931,2.058567931,2.058567931,2.058567931
2.170657247,2.170657247,2.170657247,2.170657247
2.147116511,2.147116511,2.147116511,2.147116511
2.132306256,2.132306256,2.132306256,2.132306256
2.145451461,2.145451461,2.145451461,2.145451461
2.172418589,2.172418589,2.172418589,2.172418589
2.359615718,2.359615718,2.359615718,2.359615718
1.963150516,1.963150516,1.963150516,1.963150516
1.732925544,1.732925544,1.732925544,1.732925544
1.560854294,1.560854294,1.560854294,1.560854294
1.499319651,1.499319651,1.499319651,1.499319651
1.500960628,1.500960628,1.500960628,1.500960628
1.559091614,1.559091614,1.559091614,1.559091614
1.519880682,1.519880682,1.519880682,1.519880682
1.416104581,1.416104581,1.416104581,1.416104581
1.458704459,1.458704459,1.458704459,1.458704459
1.497421895,1.497421895,1.497421895,1.497421895
1.576282423,1.576282423,1.576282423,1.576282423
1.582830284,1.582830284,1.582830284,1.582830284
1.71565048,1.71565048,1.71565048,1.71565048
1.98541137,1.98541137,1.98541137,1.98541137
2.540060366,2.540060366,2.540060366,2.540060366
2.19029013,2.19029013,2.19029013,2.19029013
1.904998131,1.904998131,1.904998131,1.904998131
2.000379437,2.000379437,2.000379437,2.000379437
2.088922668,2.088922668,2.088922668,2.088922668
2.147200767,2.147200767,2.147200767,2.147200767
2.139588344,2.139588344,2.139588344,2.139588344
2.071566022,2.071566022,2.071566022,2.071566022
2.155480547,2.155480547,2.155480547,2.155480547
2.358127203,2.358127203,2.358127203,2.358127203
1.933396267,1.933396267,1.933396267,1.933396267
1.756258984,1.756258984,1.756258984,1.756258984
1.543767802,1.543767802,1.543767802,1.543767802
1.548070185,1.548070185,1.548070185,1.548070185
1.469763335,1.469763335,1.469763335,1.469763335
1.49833132,1.49833132,1.49833132,1.49833132
1.478961903,1.478961903,1.478961903,1.478961903
1.392456854,1.392456854,1.392456854,1.392456854
1.444556212,1.444556212,1.444556212,1.444556212
1.506397118,1.506397118,1.506397118,1.506397118
1.500893759,1.500893759,1.500893759,1.500893759
1.506603076,1.506603076,1.506603076,1.506603076
1.657064781,1.657064781,1.657064781,1.657064781
2.03806307,2.03806307,2.03806307,2.03806307
2.439173027,2.439173027,2.439173027,2.439173027
2.164955954,2.164955954,2.164955954,2.164955954
1.902003716,1.902003716,1.902003716,1.902003716
2.017235898,2.017235898,2.017235898,2.017235898
2.11429429,2.11429429,2.11429429,2.11429429
2.160597401,2.160597401,2.160597401,2.160597401
2.133238417,2.133238417,2.133238417,2.133238417
2.142826165,2.142826165,2.142826165,2.142826165
2.160921049,2.160921049,2.160921049,2.160921049
2.364588134,2.364588134,2.364588134,2.364588134
1.934220099,1.934220099,1.934220099,1.934220099
1.778452969,1.778452969,1.778452969,1.778452969
1.617848499,1.617848499,1.617848499,1.617848499
1.584578252,1.584578252,1.584578252,1.584578252
1.536935077,1.536935077,1.536935077,1.536935077
1.570420643,1.570420643,1.570420643,1.570420643
1.505515778,1.505515778,1.505515778,1.505515778
1.435067431,1.435067431,1.435067431,1.435067431
1.489178224,1.489178224,1.489178224,1.489178224
1.519500863,1.519500863,1.519500863,1.519500863
1.541431382,1.541431382,1.541431382,1.541431382
1.570328364,1.570328364,1.570328364,1.570328364
1.725507043,1.725507043,1.725507043,1.725507043
1.992960935,1.992960935,1.992960935,1.992960935
2.534625214,2.534625214,2.534625214,2.534625214
2.281093549,2.281093549,2.281093549,2.281093549
1.934680161,1.934680161,1.934680161,1.934680161
2.027604681,2.027604681,2.027604681,2.027604681
2.108852451,2.108852451,2.108852451,2.108852451
2.123890062,2.123890062,2.123890062,2.123890062
2.066949353,2.066949353,2.066949353,2.066949353
2.04846395,2.04846395,2.04846395,2.04846395
2.127233537,2.127233537,2.127233537,2.127233537
2.404673719,2.404673719,2.404673719,2.404673719
1.990374423,1.990374423,1.990374423,1.990374423
1.823572489,1.823572489,1.823572489,1.823572489
1.604718006,1.604718006,1.604718006,1.604718006
1.557235317,1.557235317,1.557235317,1.557235317
1.530915485,1.530915485,1.530915485,1.530915485
1.532857375,1.532857375,1.532857375,1.532857375
1.396538568,1.396538568,1.396538568,1.396538568
1.231259921,1.231259921,1.231259921,1.231259921
1.447535917,1.447535917,1.447535917,1.447535917
1.6638186,1.6638186,1.6638186,1.6638186
1.821713517,1.821713517,1.821713517,1.821713517
1.856585957,1.856585957,1.856585957,1.856585957
1.976755783,1.976755783,1.976755783,1.976755783
2.458455513,2.458455513,2.458455513,2.458455513
2.94678736,2.94678736,2.94678736,2.94678736
2.556578468,2.556578468,2.556578468,2.556578468
2.134419332,2.134419332,2.134419332,2.134419332
2.20060408,2.20060408,2.20060408,2.20060408
2.127381987,2.127381987,2.127381987,2.127381987
2.142445008,2.142445008,2.142445008,2.142445008
2.135887786,2.135887786,2.135887786,2.135887786
2.1144735,2.1144735,2.1144735,2.1144735
2.1466404,2.1466404,2.1466404,2.1466404
2.358198085,2.358198085,2.358198085,2.358198085
2.028369668,2.028369668,2.028369668,2.028369668
1.894183997,1.894183997,1.894183997,1.894183997
1.665616051,1.665616051,1.665616051,1.665616051
1.58816112,1.58816112,1.58816112,1.58816112
1.521413331,1.521413331,1.521413331,1.521413331
1.464641132,1.464641132,1.464641132,1.464641132
1.31092957,1.31092957,1.31092957,1.31092957
1.227590123,1.227590123,1.227590123,1.227590123
1.360050561,1.360050561,1.360050561,1.360050561
1.606419165,1.606419165,1.606419165,1.606419165
1.773175628,1.773175628,1.773175628,1.773175628
1.829012991,1.829012991,1.829012991,1.829012991
2.025042242,2.025042242,2.025042242,2.025042242
2.299505395,2.299505395,2.299505395,2.299505395
2.665237379,2.665237379,2.665237379,2.665237379
2.31240452,2.31240452,2.31240452,2.31240452
1.909434254,1.909434254,1.909434254,1.909434254
1.972072244,1.972072244,1.972072244,1.972072244
2.077249929,2.077249929,2.077249929,2.077249929
2.116074356,2.116074356,2.116074356,2.116074356
2.097713331,2.097713331,2.097713331,2.097713331
2.064750684,2.064750684,2.064750684,2.064750684
2.164410299,2.164410299,2.164410299,2.164410299
2.354853273,2.354853273,2.354853273,2.354853273
1.903810529,1.903810529,1.903810529,1.903810529
1.729382798,1.729382798,1.729382798,1.729382798
1.555202485,1.555202485,1.555202485,1.555202485
1.537213254,1.537213254,1.537213254,1.537213254
1.526269393,1.526269393,1.526269393,1.526269393
1.529261134,1.529261134,1.529261134,1.529261134
1.49182893,1.49182893,1.49182893,1.49182893
1.351730659,1.351730659,1.351730659,1.351730659
1.43223484,1.43223484,1.43223484,1.43223484
1.489837557,1.489837557,1.489837557,1.489837557
1.606425852,1.606425852,1.606425852,1.606425852
1.549339368,1.549339368,1.549339368,1.549339368
1.635896575,1.635896575,1.635896575,1.635896575
1.952824529,1.952824529,1.952824529,1.952824529
2.426847642,2.426847642,2.426847642,2.426847642
2.20670659,2.20670659,2.20670659,2.20670659
1.884059956,1.884059956,1.884059956,1.884059956
1.980037737,1.980037737,1.980037737,1.980037737
2.160826094,2.160826094,2.160826094,2.160826094
2.178923653,2.178923653,2.178923653,2.178923653
2.152508867,2.152508867,2.152508867,2.152508867
2.159392412,2.159392412,2.159392412,2.159392412
2.189392741,2.189392741,2.189392741,2.189392741
2.401077478,2.401077478,2.401077478,2.401077478
1.986415749,1.986415749,1.986415749,1.986415749
1.814193374,1.814193374,1.814193374,1.814193374
1.609000328,1.609000328,1.609000328,1.609000328
1.605425485,1.605425485,1.605425485,1.605425485
1.555209172,1.555209172,1.555209172,1.555209172
1.589652309,1.589652309,1.589652309,1.589652309
1.523093092,1.523093092,1.523093092,1.523093092
1.452346508,1.452346508,1.452346508,1.452346508
1.552308373,1.552308373,1.552308373,1.552308373
1.560212347,1.560212347,1.560212347,1.560212347
1.558335989,1.558335989,1.558335989,1.558335989
1.537960855,1.537960855,1.537960855,1.537960855
1.706272702,1.706272702,1.706272702,1.706272702
2.078560571,2.078560571,2.078560571,2.078560571
2.53242387,2.53242387,2.53242387,2.53242387
2.2331401,2.2331401,2.2331401,2.2331401
1.924354174,1.924354174,1.924354174,1.924354174
2.001929471,2.001929471,2.001929471,2.001929471
2.140436249,2.140436249,2.140436249,2.140436249
2.195603579,2.195603579,2.195603579,2.195603579
2.178131919,2.178131919,2.178131919,2.178131919
2.178174715,2.178174715,2.178174715,2.178174715
2.202080558,2.202080558,2.202080558,2.202080558
2.475719879,2.475719879,2.475719879,2.475719879
2.042726548,2.042726548,2.042726548,2.042726548
1.822267197,1.822267197,1.822267197,1.822267197
1.657516819,1.657516819,1.657516819,1.657516819
1.612583195,1.612583195,1.612583195,1.612583195
1.566226589,1.566226589,1.566226589,1.566226589
1.598331969,1.598331969,1.598331969,1.598331969
1.508099615,1.508099615,1.508099615,1.508099615
1.442041919,1.442041919,1.442041919,1.442041919
1.497435268,1.497435268,1.497435268,1.497435268
1.54370227,1.54370227,1.54370227,1.54370227
1.578412885,1.578412885,1.578412885,1.578412885
1.575385035,1.575385035,1.575385035,1.575385035
1.729497814,1.729497814,1.729497814,1.729497814
2.084475846,2.084475846,2.084475846,2.084475846
2.529909577,2.529909577,2.529909577,2.529909577
2.242656966,2.242656966,2.242656966,2.242656966
1.919169114,1.919169114,1.919169114,1.919169114
2.016393342,2.016393342,2.016393342,2.016393342
2.133370818,2.133370818,2.133370818,2.133370818
2.187496322,2.187496322,2.187496322,2.187496322
2.159895271,2.159895271,2.159895271,2.159895271
2.136167301,2.136167301,2.136167301,2.136167301
2.191446972,2.191446972,2.191446972,2.191446972
2.367539753,2.367539753,2.367539753,2.367539753
1.954119122,1.954119122,1.954119122,1.954119122
1.769802731,1.769802731,1.769802731,1.769802731
1.596507769,1.596507769,1.596507769,1.596507769
1.549945205,1.549945205,1.549945205,1.549945205
1.516590703,1.516590703,1.516590703,1.516590703
1.565786588,1.565786588,1.565786588,1.565786588
1.504032612,1.504032612,1.504032612,1.504032612
1.394240932,1.394240932,1.394240932,1.394240932
1.439486167,1.439486167,1.439486167,1.439486167
1.495493378,1.495493378,1.495493378,1.495493378
1.4711034,1.4711034,1.4711034,1.4711034
1.479745613,1.479745613,1.479745613,1.479745613
1.61962589,1.61962589,1.61962589,1.61962589
1.949970539,1.949970539,1.949970539,1.949970539
2.475640973,2.475640973,2.475640973,2.475640973
2.17814663,2.17814663,2.17814663,2.17814663
1.875571543,1.875571543,1.875571543,1.875571543
1.982522608,1.982522608,1.982522608,1.982522608
2.085547096,2.085547096,2.085547096,2.085547096
2.125778456,2.125778456,2.125778456,2.125778456
2.111373431,2.111373431,2.111373431,2.111373431
2.115543412,2.115543412,2.115543412,2.115543412
2.170372383,2.170372383,2.170372383,2.170372383
2.369129909,2.369129909,2.369129909,2.369129909
1.953982709,1.953982709,1.953982709,1.953982709
1.811419628,1.811419628,1.811419628,1.811419628
1.602027177,1.602027177,1.602027177,1.602027177
1.563486277,1.563486277,1.563486277,1.563486277
1.542207068,1.542207068,1.542207068,1.542207068
1.542449135,1.542449135,1.542449135,1.542449135
1.513370268,1.513370268,1.513370268,1.513370268
1.41244147,1.41244147,1.41244147,1.41244147
1.466457308,1.466457308,1.466457308,1.466457308
1.481211392,1.481211392,1.481211392,1.481211392
1.534402061,1.534402061,1.534402061,1.534402061
1.552910198,1.552910198,1.552910198,1.552910198
1.65959646,1.65959646,1.65959646,1.65959646
1.985495625,1.985495625,1.985495625,1.985495625
2.480472962,2.480472962,2.480472962,2.480472962
2.192777675,2.192777675,2.192777675,2.192777675
1.877390393,1.877390393,1.877390393,1.877390393
2.002116706,2.002116706,2.002116706,2.002116706
2.126932624,2.126932624,2.126932624,2.126932624
2.16427121,2.16427121,2.16427121,2.16427121
2.082499184,2.082499184,2.082499184,2.082499184
2.075132841,2.075132841,2.075132841,2.075132841
2.111909724,2.111909724,2.111909724,2.111909724
2.347359878,2.347359878,2.347359878,2.347359878
2.036507685,2.036507685,2.036507685,2.036507685
1.839265421,1.839265421,1.839265421,1.839265421
1.686920671,1.686920671,1.686920671,1.686920671
1.602372224,1.602372224,1.602372224,1.602372224
1.570983685,1.570983685,1.570983685,1.570983685
1.557839817,1.557839817,1.557839817,1.557839817
